cg_year,V2,cal_monthd,observed,predicted,upper,lower,diff_perc
2023,2022,Jul,17425114.9999999,18949921.988745,57330168.4904509,8429741.33709608,8.8
2023,2022,Aug,25456290.95,24595171.0454117,85155439.3033735,10206505.7381278,-3.4
2023,2022,Sep,20867420.6500001,18949921.988745,58664287.4272511,8327662.07355662,-9.2
2023,2022,Oct,30142629.08,21223780.6531682,70075194.4505455,9020743.3175937,-29.6
2023,2022,Nov,21876867.73,19528855.1137224,62719655.534622,8419088.73977582,-10.7
2023,2022,Dec,17425114.9999999,22168527.3501681,76612645.910842,9207934.00909654,27.2
2023,2023,Jan,20287644.7699998,19811288.2081228,65552434.8781137,8411162.2263598,-2.3
2023,2023,Feb,20647783.32,19426821.6216757,64407027.7307074,8239664.8751814,-5.9
2023,2023,Mar,21427636.7800002,23634596.8495985,87626243.8093946,9484538.80167887,10.3
2023,2023,Apr,20914685.0400001,22824099.0316039,84081636.1570428,9187600.16235662,9.1
2023,2023,May,23016494.2799997,31367864.8759539,141014329.120191,11520089.499188,36.3
2023,2023,Jun,50182010.2799994,49938271.1506583,321033029.997891,15869417.7147161,-0.5
